id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
a46118b572043e426807fa2bb7125f2c,Godel Technologies Europe,1000.0,Gdańsk,Python,mid,15000.0,20000.0,16000.0,23000.0
70edbda6088a49a0a6ef37003462c152,Godel Technologies Europe,1000.0,Warszawa,Python,mid,15000.0,20000.0,16000.0,23000.0
6530f8b703bd714f9ceef8b574a4f550,Godel Technologies Europe,1000.0,Wrocław,Python,mid,15000.0,20000.0,16000.0,23000.0
d1c0e1a03bd632811982329f6f6f626c,PwC Poland,1000.0,Warszawa,C#,mid,9000.0,13500.0,,
12568a3b604eaf7a043dafbe64d21cd6,PwC Poland,1000.0,Gdańsk,C#,mid,9000.0,13500.0,,
24a850008ca941f3af0615f3bfe9091c,PwC Poland,1000.0,Katowice,C#,mid,9000.0,13500.0,,
addc6137dc56082de86c68c7d99bd697,PwC Poland,1000.0,Kraków,C#,mid,9000.0,13500.0,,
253a58cd2f2d7c582544f7d24146c113,PwC Poland,1000.0,Poznań,C#,mid,9000.0,13500.0,,
ac7bacb1f62a35b7b606b557e7e1e0fd,PwC Poland,1000.0,Wrocław,C#,mid,9000.0,13500.0,,
75e01c7d5055bc02bd7e3975028efe9f,PwC Poland,1000.0,Łódź,C#,mid,9000.0,13500.0,,
5478dcebf28e2d89497427eacc0ceb20,PwC Poland,1000.0,Warszawa,C#,senior,12400.0,19600.0,,
e5d35f47ea783bfd4696ed3c19818335,Ringier Axel Springer Tech,100.0,Wrocław,Mobile,mid,,,11700.0,19700.0
38b5cf3d4b44c1bb72fe2b261df0175a,RTB House,1000.0,Warszawa,Java,senior,,,35000.0,47000.0
bb99143634c1bb4ceb3c8b9476bf3633,RTB House,1000.0,Kraków,Java,senior,,,35000.0,47000.0
491405672321cabb92ae4903b4de7a56,Sofomo,10.0,Gdańsk,C/C++,mid,13000.0,17000.0,15000.0,20000.0
0551d9b57caa886e1edb8772b2ec03af,Sofomo,10.0,Wrocław,C/C++,mid,13000.0,17000.0,15000.0,20000.0
5dc295a15ecf5c5512730345a5d1dc15,Sofomo,10.0,Wrocław,JavaScript,senior,13000.0,15000.0,15000.0,18000.0
0d6abe26145426ccc9d768febc2e3642,DATEV,10000.0,Warszawa,JavaScript,senior,18147.0,32261.0,,
cf2d1083fcf6eae79b1fce6e929d4f1c,EPAM Systems,10000.0,Kraków,C#,senior,16000.0,24000.0,17000.0,25000.0
f7871327dea422698b0b623b0854ef64,Infogain,1000.0,Kraków,JavaScript,senior,,,21000.0,26500.0
46d2669294ae17464daec75e8addc7f7,Infogain,1000.0,Kraków,C/C++,senior,,,21840.0,30240.0
e975cf89177c000c3a6b604db3e56867,Jit Team,100.0,Gdańsk,JavaScript,senior,,,19000.0,27300.0
8996844d1418cb869f54c89b3a0b553f,Margo Consulting Polska Sp. z o. o.,100.0,Warszawa,C#,mid,,,16000.0,24000.0
8dfeeb5344e8b6311ad1328ca0da8010,Margo Consulting Polska Sp. z o. o.,100.0,Łódź,C#,mid,,,16000.0,24000.0
e299214876e779670bd3cde9e4614a0c,Netcompany Poland,100.0,Warszawa,Java,junior,7000.0,8000.0,,
872d9ec592ca2154bbd90d2029438cd7,Netcompany Poland,100.0,Warszawa,C#,junior,7000.0,8000.0,,
b661d9b434c8697e116a57e8a8c2c075,Aplikacje Krytyczne Sp. z o.o.,,Warszawa,C#,mid,12500.0,18000.0,,
6785c5d74e83374e698c4700fc43f422,Volvo Tech Hub Poland,1000.0,Kraków,Java,mid,19000.0,24000.0,,
902099082c24f66132997d2424830bf3,Hyland Software,1000.0,Kraków,C#,senior,19200.0,24000.0,,
102c8102291b5b33217578d1c5c9c2ec,Hyland Software,1000.0,Gdańsk,C#,senior,19200.0,24000.0,,
